Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
Washington,US,2021-09-25 04:31:33,47.4009,-121.4905,640496,7494,,,53.0,8411.09651836211,9842443.0,,1.170030726187205,84000053.0,USA,129252.54497994916,
West Virginia,US,2021-09-25 04:31:33,38.4912,-80.9545,231668,3523,,,54.0,12926.84138075727,3808392.0,,1.5207106721687933,84000054.0,USA,212504.4429949105,
Wisconsin,US,2021-09-25 04:31:33,44.2685,-89.6165,793810,8794,,,55.0,13633.64531053508,10525954.0,,1.107821770952747,84000055.0,USA,180782.71046095155,
Wyoming,US,2021-09-25 04:31:33,42.756,-107.3025,87866,955,,,56.0,15181.794149205454,968121.0,,1.08688229804475,84000056.0,USA,167275.32530811615,
Alabama,US,2021-09-26 04:31:50,32.3182,-86.9023,787421,14022,,,1.0,16059.37773100546,5720514.0,,1.7807500688958002,84000001.0,USA,116669.34859688142,
Alaska,US,2021-09-26 04:31:50,61.3707,-152.4044,107679,532,,,2.0,14719.395252513516,2996597.0,,0.4940610518299761,84000002.0,USA,409625.7919881894,
American Samoa,US,2021-09-26 04:31:50,-14.271,-170.132,0,0,,,60.0,0.0,2140.0,,,16.0,ASM,3846.084721698028,
Arizona,US,2021-09-26 04:31:50,33.7298,-111.4312,1081790,19806,,,4.0,14862.37203617066,12572154.0,,1.8308544172159107,84000004.0,USA,172724.86346151392,
Arkansas,US,2021-09-26 04:31:50,34.9697,-92.3731,492233,7575,,,5.0,16310.966517374884,3870581.0,,1.53890535579695,84000005.0,USA,128258.1970200848,
California,US,2021-09-26 04:31:50,36.1162,-119.6816,4695914,68210,,,6.0,11897.18432192489,90476127.0,,1.451016647655888,84000006.0,USA,228982.62899558956,
Colorado,US,2021-09-26 04:31:50,39.0598,-105.3111,660884,7472,,,8.0,11476.19894365708,10957898.0,,1.1306068841127943,84000008.0,USA,190283.0412785028,
Connecticut,US,2021-09-26 04:31:50,41.5978,-72.7554,387733,8501,,,9.0,10875.225472731929,9924319.0,,2.192488129718131,84000009.0,USA,278359.6103202912,
Delaware,US,2021-09-26 04:31:50,39.3185,-75.5071,131043,1942,,,10.0,13457.367493561069,2180795.0,,1.4819563044191602,84000010.0,USA,223955.1883207841,
Diamond Princess,US,2021-09-26 04:31:50,,,49,0,,,88888.0,,,,0.0,84088888.0,USA,,
District of Columbia,US,2021-09-26 04:31:50,38.8974,-77.0268,60205,1172,,,11.0,8530.653249243003,2010351.0,,1.9466821692550451,84000011.0,USA,284853.5385809969,
Florida,US,2021-09-26 04:31:50,27.7663,-81.6868,3582807,53580,,,12.0,16681.49209574547,39253357.0,,1.4954754749558097,84000012.0,USA,182763.0024522602,
Georgia,US,2021-09-26 04:31:50,33.0406,-83.6431,1557536,25478,,,13.0,14669.623693056215,11369971.0,,1.635788835699464,84000013.0,USA,107087.85926679196,
Grand Princess,US,2021-09-26 04:31:50,,,103,3,,,99999.0,,,,2.912621359223301,84099999.0,USA,,
Guam,US,2021-09-26 04:31:50,13.4443,144.7937,14248,184,,,66.0,8675.690651468376,222808.0,,1.2914093206064008,316.0,GUM,135669.09620103636,
Hawaii,US,2021-09-26 04:31:50,21.0943,-157.4983,77777,747,,,15.0,5493.222551191068,2324843.0,,0.9604381758103296,84000015.0,USA,164198.67050128823,
Idaho,US,2021-09-26 04:31:50,44.2405,-114.4788,250556,2753,,,16.0,14020.530870449593,945674.0,,1.0987563658423665,84000016.0,USA,52917.71703883183,
Illinois,US,2021-09-26 04:31:50,40.3495,-88.9861,1612129,27216,,,17.0,12722.157296887322,31192769.0,,1.6882023709020804,84000017.0,USA,246158.5355411823,
Indiana,US,2021-09-26 04:31:50,39.8494,-86.2583,952188,15377,,,18.0,14143.746660647848,13354696.0,,1.6149121812079128,84000018.0,USA,198369.8985431104,
Iowa,US,2021-09-26 04:31:50,42.0115,-93.2105,445668,6483,,,19.0,14125.455219694017,1642260.0,,1.4546702926842403,84000019.0,USA,52051.460030997725,
Kansas,US,2021-09-26 04:31:50,38.5266,-96.7265,405330,5985,,,20.0,13913.0213907598,1728906.0,,1.4765746428835764,84000020.0,USA,59344.99336494452,
